"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","135.89mm","-53.944mm","top","0.0"
"R1","83.954mm","-60.142mm","top","90.0"
"U1","123.708mm","-102.372mm","top","0.0"
"R3","134.62mm","-72.946mm","top","180.0"
"R2","83.954mm","-78.406mm","top","-90.0"
"C1","135.89mm","-82.344mm","top","0.0"
"U1","123.708mm","-88.172mm","top","0.0"
"C1","62.11mm","-87.256mm","top","180.0"
"R2","114.046mm","-62.794mm","top","90.0"
"R3","63.38mm","-82.454mm","top","0.0"
"D2","117.856mm","-82.09mm","top","0.0"
"R4","82.922mm","-67.238mm","top","180.0"
"U2","103.676mm","-49.356mm","top","0.0"
"R2","83.954mm","-106.806mm","top","-90.0"
"R2","83.954mm","-50.006mm","top","-90.0"
"D3","62.11mm","-63.592mm","top","-90.0"
"R2","114.046mm","-48.594mm","top","90.0"
"C2","121.158mm","-105.918mm","top","90.0"
"C1","135.89mm","-96.544mm","top","0.0"
"D3","135.89mm","-49.208mm","top","90.0"
"R1","114.046mm","-52.658mm","top","-90.0"
"R4","115.078mm","-59.762mm","top","0.0"
"R2","83.954mm","-64.206mm","top","-90.0"
"C1","62.11mm","-44.656mm","top","180.0"
"D1","78.112mm","-67.492mm","top","180.0"
"R1","83.954mm","-102.742mm","top","90.0"
"U2","94.324mm","-106.044mm","top","180.0"
"C2","76.842mm","-92.082mm","top","-90.0"
"J1","58.046mm","-68.503mm","top","180.0"
"D2","117.856mm","-96.29mm","top","0.0"
"R4","82.922mm","-53.038mm","top","180.0"
"U1","123.708mm","-45.572mm","top","0.0"
"J1","139.954mm","-86.897mm","top","0.0"
"C2","76.842mm","-49.482mm","top","-90.0"
"C2","76.842mm","-63.682mm","top","-90.0"
"C2","121.158mm","-63.318mm","top","90.0"
"D1","119.888mm","-102.108mm","top","0.0"
"R3","134.62mm","-44.546mm","top","180.0"
"D3","62.11mm","-49.392mm","top","-90.0"
"J1","58.046mm","-96.903mm","top","180.0"
"R3","134.62mm","-101.346mm","top","180.0"
"D2","80.144mm","-44.91mm","top","180.0"
"D3","135.89mm","-63.408mm","top","90.0"
"U2","103.676mm","-63.556mm","top","0.0"
"R4","82.922mm","-95.638mm","top","180.0"
"C2","76.842mm","-77.882mm","top","-90.0"
"C1","135.89mm","-110.744mm","top","0.0"
"D3","135.89mm","-106.008mm","top","90.0"
"R2","114.046mm","-105.394mm","top","90.0"
"R1","114.046mm","-81.058mm","top","-90.0"
"R3","134.62mm","-87.146mm","top","180.0"
"D3","135.89mm","-91.808mm","top","90.0"
"D1","78.112mm","-81.692mm","top","180.0"
"C1","62.11mm","-101.456mm","top","180.0"
"D2","80.144mm","-101.71mm","top","180.0"
"U2","103.676mm","-91.956mm","top","0.0"
"R2","83.954mm","-92.606mm","top","-90.0"
"R4","115.078mm","-73.962mm","top","0.0"
"D2","117.856mm","-110.49mm","top","0.0"
"R3","63.38mm","-68.254mm","top","0.0"
"J1","58.046mm","-82.703mm","top","180.0"
"R1","114.046mm","-109.458mm","top","-90.0"
"C1","62.11mm","-58.856mm","top","180.0"
"R2","114.046mm","-76.994mm","top","90.0"
"U2","94.324mm","-63.444mm","top","180.0"
"C2","76.842mm","-106.282mm","top","-90.0"
"C1","135.89mm","-68.144mm","top","0.0"
"R3","63.38mm","-110.854mm","top","0.0"
"D2","80.144mm","-59.11mm","top","180.0"
"J1","58.046mm","-111.103mm","top","180.0"
"J1","58.046mm","-54.303mm","top","180.0"
"C2","121.158mm","-49.118mm","top","90.0"
"U1","74.292mm","-81.428mm","top","180.0"
"U1","74.292mm","-109.828mm","top","180.0"
"R4","82.922mm","-81.438mm","top","180.0"
"D2","117.856mm","-67.89mm","top","0.0"
"J1","139.954mm","-44.297mm","top","0.0"
"D3","135.89mm","-77.608mm","top","90.0"
"R4","115.078mm","-102.362mm","top","0.0"
"D3","62.11mm","-77.792mm","top","-90.0"
"C2","121.158mm","-91.718mm","top","90.0"
"D1","119.888mm","-73.708mm","top","0.0"
"U2","94.324mm","-91.844mm","top","180.0"
"D2","117.856mm","-53.69mm","top","0.0"
"R3","63.38mm","-54.054mm","top","0.0"
"U2","103.676mm","-106.156mm","top","0.0"
"R4","115.078mm","-88.162mm","top","0.0"
"D1","119.888mm","-87.908mm","top","0.0"
"U2","103.676mm","-77.756mm","top","0.0"
"D1","119.888mm","-59.508mm","top","0.0"
"R2","114.046mm","-91.194mm","top","90.0"
"R3","134.62mm","-58.746mm","top","180.0"
"R1","83.954mm","-74.342mm","top","90.0"
"R4","82.922mm","-109.838mm","top","180.0"
"R1","114.046mm","-95.258mm","top","-90.0"
"C2","121.158mm","-77.518mm","top","90.0"
"R1","83.954mm","-88.542mm","top","90.0"
"U2","94.324mm","-77.644mm","top","180.0"
"D2","80.144mm","-73.31mm","top","180.0"
"D3","62.11mm","-106.192mm","top","-90.0"
"R3","63.38mm","-96.654mm","top","0.0"
"U1","123.708mm","-73.972mm","top","0.0"
"U1","74.292mm","-53.028mm","top","180.0"
"D1","78.112mm","-95.892mm","top","180.0"
"C1","62.11mm","-73.056mm","top","180.0"
"R1","83.954mm","-45.942mm","top","90.0"
"D1","78.112mm","-53.292mm","top","180.0"
"U1","74.292mm","-95.628mm","top","180.0"
"D2","80.144mm","-87.51mm","top","180.0"
"R4","115.078mm","-45.562mm","top","0.0"
"J1","139.954mm","-72.697mm","top","0.0"
"D3","62.11mm","-91.992mm","top","-90.0"
"J1","139.954mm","-58.497mm","top","0.0"
"D1","119.888mm","-45.308mm","top","0.0"
"R1","114.046mm","-66.858mm","top","-90.0"
"U1","74.292mm","-67.228mm","top","180.0"
"J1","139.954mm","-101.097mm","top","0.0"
"D1","78.112mm","-110.092mm","top","180.0"
"U2","94.324mm","-49.244mm","top","180.0"
"U1","123.708mm","-59.772mm","top","0.0"
